Study_ID,Country,Crop_Type,IoT_Devices,Sensor_Type,Irrigation_Mode,Water_Saved_%,Yield_Change_%,Cost_Reduction_%,ML_Model_Used,Model_Accuracy_%,Evaluation_Period_Days,Data_Quality_Flag,Notes
39,Ghana,Tomato,Soil sensors + Weather station,Multispectral Camera,Manual,30,14,10,Random Forest,91,95,High,Solar powered
40,Egypt,Maize,Soil sensors + Weather station,NDVI,Sprinkler + Auto,23,13,5,Linear Regression,82,176,High,Edge device tested
41,Egypt,Mango,Vision camera (edge),Humidity,Drip + Sensor-driven,32,5,6,LightGBM,83,116,Medium,
42,Egypt,Sugarcane,Drones (NDVI),Humidity,Cloud-auto (scheduled),21,15,6,Random Forest,91,42,High,Edge device tested
43,Brazil,Wheat,Vision camera (edge),Humidity,Sprinkler + Auto,22,14,7,Random Forest,87,365,Medium,Pilot plot
44,South Africa,Cotton,Soil sensors,Solar Radiation,Drip,37,12,16,LightGBM,89,92,High,High rainfall during eval period
45,Spain,Sugarcane,Drones (NDVI),Solar Radiation,Sprinkler + Auto,27,4,8,CNN,89,111,Medium,
46,India,Cotton,Solar-powered sensors,NDVI,Drip + Sensor-driven,30,16,12,Random Forest,86,69,Medium,
47,India,Date Palm,Soil sensors,Air Temp,Flood,21,25,6,Random Forest,75,139,High,
48,China,Grapes,Soil sensors,Multispectral Camera,Sprinkler + Auto,34,9,9,RCNN,83,40,Medium,Solar powered
49,China,Potato,Weather station,Multispectral Camera,Sprinkler + Auto,27,13,6,Ensemble,81,338,Medium,
50,India,Mango,Soil sensors,EC (salinity),Sprinkler + Auto,32,6,11,Ensemble,87,95,Low,
51,Brazil,Sugarcane,Soil sensors + Weather station,Soil Moisture,Sprinkler,25,14,7,Random Forest,87,266,High,
52,India,Mango,Drones (NDVI),Multispectral Camera,Cloud-auto (scheduled),29,13,7,Ensemble,94,159,Medium,
53,Ghana,Rice,Cloud-connected sensors,EC (salinity),Flood,22,2,12,Ensemble,88,363,High,
54,India,Rice,Soil sensors + Weather station,Humidity,Micro-irrigation,36,3,11,Linear Regression,83,141,High,
55,Bangladesh,Sugarcane,Soil sensors + Weather station,Soil Temperature,Micro-irrigation,34,12,19,Linear Regression,72,43,Low,
56,Brazil,Grapes,Drones (NDVI),Humidity,Sprinkler,33,18,15,Ensemble,82,154,High,Edge device tested
57,South Africa,Sorghum,Cloud-connected sensors,Soil Moisture,Manual,34,13,19,KNN,63,65,High,
58,Brazil,Mango,Soil sensors,EC (salinity),Drip + Sensor-driven,23,10,5,XGBoost,76,297,Low,
59,South Africa,Date Palm,Edge device + Vision,Solar Radiation,Sprinkler + Auto,42,-2,13,Reinforcement Learning (A2C),75,195,Medium,Pilot plot
60,India,Mango,Weather station,Solar Radiation,Sprinkler + Auto,28,4,11,CNN,82,196,High,
61,South Africa,Potato,Weather station,NDVI,Drip,27,13,12,Random Forest,97,153,Medium,
62,Ghana,Millet,Vision camera (edge),Solar Radiation,Drip + Sensor-driven,40,17,24,Linear Regression,79,143,High,
63,Egypt,Potato,Vision camera (edge),EC (salinity),Sprinkler + Auto,16,10,8,CNN,81,210,Medium,
64,India,Wheat,Soil sensors + Drones,EC (salinity),Sprinkler,18,4,5,LightGBM,94,124,High,Cloud outage recorded
65,Ghana,Sorghum,Soil sensors + Weather station,NDVI,Sprinkler,25,5,10,Random Forest,89,214,High,
66,China,Tomato,Soil sensors,Soil Moisture,Cloud-auto (scheduled),36,11,16,Random Forest,94,281,High,
67,India,Mango,Vision camera (edge),Air Temp,Drip,23,6,8,LightGBM,80,88,Medium,
68,India,Soybean,Soil sensors + Drones,Air Temp,Micro-irrigation,40,9,16,LightGBM,75,73,Low,
69,Ghana,Sugarcane,Soil sensors + Weather station,Humidity,Sprinkler + Auto,26,2,9,XGBoost,93,331,Low,
70,USA,Sugarcane,Cloud-connected sensors,Soil Temperature,Flood,29,8,13,Random Forest,79,71,High,
71,India,Rice,Drones (NDVI),Solar Radiation,Cloud-auto (scheduled),35,9,16,Random Forest,81,174,Medium,
72,Egypt,Tomato,Edge device + Vision,Humidity,Sprinkler + Auto,28,13,12,Random Forest,83,106,Low,Pilot plot
73,India,Sorghum,Drones (NDVI),NDVI,Drip + Sensor-driven,39,2,15,KNN,77,236,Low,
74,China,Wheat,Soil sensors + Weather station,Multispectral Camera,Manual,28,12,16,Linear Regression,71,147,Low,Edge device tested
75,USA,Rice,Cloud-connected sensors,NDVI,Drip,32,5,7,Random Forest,88,295,Medium,Smallholder field
76,Spain,Grapes,Soil sensors + Weather station,Solar Radiation,Sprinkler,25,5,12,XGBoost,80,194,Medium,High sensor drift
77,Bangladesh,Mango,Weather station,Multispectral Camera,Drip,35,11,17,XGBoost,78,195,High,High rainfall during eval period
78,Portugal,Rice,Soil sensors + Drones,Solar Radiation,Sprinkler + Auto,33,12,17,CNN,80,348,Medium,
79,India,Date Palm,Soil sensors,NDVI,Drip + Sensor-driven,31,10,11,CNN,80,44,Low,Long-term monitoring
80,Egypt,Tomato,Soil sensors + Weather station,Multispectral Camera,Sprinkler,35,18,18,Ensemble,79,88,High,
81,Portugal,Mango,NodeMCU + LoRa,NDVI,Cloud-auto (scheduled),36,9,12,CNN,83,271,High,
82,Bangladesh,Sugarcane,Soil sensors + Weather station,Air Temp,Sprinkler,33,7,19,Ensemble,78,242,High,Cloud outage recorded
83,Portugal,Tomato,Soil sensors + Drones,Solar Radiation,Micro-irrigation,31,13,14,CNN,73,200,High,
84,China,Potato,Solar-powered sensors,Humidity,Sprinkler + Auto,25,16,13,Ensemble,74,52,High,
85,Brazil,Grapes,Drones (NDVI),Air Temp,Drip + Sensor-driven,34,13,8,Random Forest,77,332,High,
86,Brazil,Wheat,Soil sensors + Weather station,Solar Radiation,Drip,31,-4,17,XGBoost,94,365,Low,
87,South Africa,Tomato,Drones (NDVI),Multispectral Camera,Sprinkler,23,7,6,Ensemble,86,303,High,
88,Ghana,Sorghum,Vision camera (edge),Soil Moisture,Sprinkler,36,6,19,KNN,74,177,Low,Solar powered
89,Spain,Sorghum,Soil sensors + Weather station,Soil Temperature,Drip + Sensor-driven,29,10,7,Random Forest,90,44,High,Cloud outage recorded
90,India,Grapes,Soil sensors,Multispectral Camera,Micro-irrigation,29,5,7,Linear Regression,83,225,Medium,
91,Brazil,Maize,Weather station,NDVI,Drip + Sensor-driven,33,18,12,Linear Regression,70,268,Low,Smallholder field
92,India,Potato,Cloud-connected sensors,NDVI,Sprinkler + Auto,28,5,7,XGBoost,82,184,High,
93,China,Cotton,Drones (NDVI),EC (salinity),Cloud-auto (scheduled),30,4,15,Random Forest,85,232,High,
94,Egypt,Millet,Cloud-connected sensors,Solar Radiation,Cloud-auto (scheduled),29,0,16,Random Forest,76,210,High,
95,India,Sorghum,Soil sensors + Drones,Air Temp,Sprinkler,29,9,7,Reinforcement Learning (A2C),82,188,Medium,
96,India,Maize,Soil sensors,NDVI,Manual,28,23,13,Random Forest,85,97,Medium,High sensor drift
97,China,Tomato,Solar-powered sensors,NDVI,Drip + Sensor-driven,42,4,18,Random Forest,81,203,Medium,
98,India,Sorghum,Cloud-connected sensors,Multispectral Camera,Manual,34,0,9,XGBoost,87,165,High,
99,Egypt,Soybean,Weather station,Multispectral Camera,Manual,15,6,7,Random Forest,69,42,Medium,High sensor drift
100,Brazil,Cotton,Soil sensors + Drones,Solar Radiation,Cloud-auto (scheduled),30,12,8,Linear Regression,80,53,Low,
101,China,Wheat,Weather station,Air Temp,Sprinkler + Auto,20,20,11,KNN,71,306,High,Smallholder field
102,Brazil,Soybean,Soil sensors,Solar Radiation,Sprinkler + Auto,26,11,9,Random Forest,74,219,High,
103,India,Potato,Soil sensors,EC (salinity),Manual,27,16,10,Random Forest,81,92,Low,Pilot plot
104,Egypt,Soybean,Soil sensors + Weather station,Soil Moisture,Drip,31,11,19,Random Forest,84,94,Medium,
105,Portugal,Date Palm,Weather station,Humidity,Flood,22,9,11,Random Forest,80,335,High,Smallholder field
106,Spain,Date Palm,Weather station,Air Temp,Sprinkler,18,1,8,Linear Regression,76,37,High,Edge device tested
107,India,Maize,Weather station,Air Temp,Sprinkler + Auto,19,17,5,Ensemble,84,273,High,
108,USA,Mango,Soil sensors + Weather station,Soil Moisture,Cloud-auto (scheduled),40,10,22,LightGBM,93,61,Low,Solar powered
109,Egypt,Mango,Soil sensors + Drones,Solar Radiation,Sprinkler,40,20,22,XGBoost,75,105,High,
110,USA,Date Palm,Soil sensors + Drones,Multispectral Camera,Cloud-auto (scheduled),26,18,7,Reinforcement Learning (A2C),85,80,Medium,
111,Egypt,Sorghum,Soil sensors + Weather station,Humidity,Sprinkler + Auto,34,-2,12,Random Forest,88,203,Medium,
112,Ghana,Potato,Vision camera (edge),NDVI,Manual,27,10,14,KNN,55,272,High,Pilot plot
113,Bangladesh,Millet,Soil sensors + Drones,Air Temp,Drip,39,1,21,RCNN,84,198,Medium,
114,Brazil,Sorghum,Vision camera (edge),Soil Moisture,Cloud-auto (scheduled),33,7,20,XGBoost,70,325,High,
115,China,Wheat,Drones (NDVI),EC (salinity),Sprinkler,16,8,7,RCNN,83,249,Medium,Edge device tested
116,USA,Soybean,Soil sensors + Weather station,NDVI,Drip,31,2,10,KNN,76,188,Low,
117,India,Maize,Soil sensors + Weather station,Multispectral Camera,Sprinkler,28,15,13,Reinforcement Learning (A2C),74,45,High,
118,Bangladesh,Mango,Drones (NDVI),EC (salinity),Cloud-auto (scheduled),25,4,6,Ensemble,78,320,High,Smallholder field
119,India,Sugarcane,Soil sensors,Soil Temperature,Cloud-auto (scheduled),27,3,8,XGBoost,82,340,High,
120,Ghana,Wheat,Drones (NDVI),Soil Temperature,Cloud-auto (scheduled),14,8,7,Reinforcement Learning (A2C),78,299,Medium,
121,Bangladesh,Sugarcane,Soil sensors,Humidity,Cloud-auto (scheduled),24,10,13,Ensemble,88,160,High,
122,China,Grapes,Soil sensors,Multispectral Camera,Flood,19,5,5,Ensemble,86,211,High,
123,Bangladesh,Mango,NodeMCU + LoRa,EC (salinity),Sprinkler + Auto,26,-5,12,KNN,67,243,High,
124,Australia,Maize,Edge device + Vision,Solar Radiation,Manual,15,14,8,Ensemble,75,154,High,
125,India,Tomato,Soil sensors + Drones,Humidity,Manual,45,16,11,Linear Regression,84,354,High,
126,Brazil,Potato,Drones (NDVI),Air Temp,Flood,10,4,4,Random Forest,76,118,Medium,Pilot plot
127,India,Sorghum,Soil sensors + Weather station,Solar Radiation,Drip + Sensor-driven,28,3,7,LightGBM,84,359,Medium,High sensor drift
128,India,Wheat,Vision camera (edge),NDVI,Cloud-auto (scheduled),33,15,13,XGBoost,87,67,High,
129,India,Tomato,Soil sensors,Soil Temperature,Sprinkler + Auto,28,4,12,CNN,81,51,High,Long-term monitoring
130,India,Mango,Soil sensors + Weather station,Soil Moisture,Drip + Sensor-driven,39,7,13,LightGBM,77,205,Low,
131,USA,Rice,Weather station,Solar Radiation,Drip + Sensor-driven,36,20,12,Reinforcement Learning (A2C),78,216,High,
132,Bangladesh,Potato,Soil sensors + Drones,Soil Moisture,Manual,29,7,8,Linear Regression,70,227,High,Edge device tested
133,Brazil,Potato,Soil sensors,Air Temp,Manual,24,6,7,KNN,65,230,High,Pilot plot
134,India,Grapes,Soil sensors + Drones,EC (salinity),Micro-irrigation,28,-5,17,Ensemble,87,299,High,High rainfall during eval period
135,India,Potato,Drones (NDVI),Humidity,Manual,27,4,16,CNN,85,145,Low,
136,India,Sorghum,Soil sensors,Soil Moisture,Manual,30,5,14,Reinforcement Learning (A2C),74,335,High,
137,Portugal,Sorghum,Soil sensors + Weather station,Air Temp,Drip + Sensor-driven,31,14,13,XGBoost,89,151,Low,Dry season
138,India,Cotton,Drones (NDVI),Solar Radiation,Flood,18,6,7,LightGBM,75,255,High,
139,Bangladesh,Date Palm,Drones (NDVI),Air Temp,Flood,14,9,3,Random Forest,71,158,High,
140,Bangladesh,Wheat,Soil sensors + Drones,Soil Temperature,Cloud-auto (scheduled),33,2,13,Random Forest,84,260,Low,
141,Bangladesh,Cotton,Edge device + Vision,EC (salinity),Drip,28,9,9,XGBoost,78,221,High,High sensor drift
142,India,Potato,NodeMCU + LoRa,EC (salinity),Micro-irrigation,35,16,15,Random Forest,87,271,Medium,
143,Egypt,Mango,Soil sensors + Weather station,Soil Temperature,Drip,19,4,6,Ensemble,83,310,Low,Solar powered
144,India,Tomato,Weather station,Soil Temperature,Drip,31,12,17,Reinforcement Learning (A2C),91,348,High,
145,Brazil,Sugarcane,Soil sensors + Weather station,Humidity,Micro-irrigation,33,7,9,Linear Regression,69,210,High,
146,Egypt,Wheat,Soil sensors + Weather station,EC (salinity),Sprinkler,26,12,11,CNN,90,289,High,
147,China,Soybean,Drones (NDVI),EC (salinity),Cloud-auto (scheduled),33,7,12,XGBoost,80,64,High,Pilot plot
148,South Africa,Millet,Soil sensors + Drones,Air Temp,Drip,38,5,12,XGBoost,66,359,High,Dry season
149,Spain,Mango,Soil sensors + Weather station,Air Temp,Sprinkler,28,19,8,LightGBM,80,48,High,
150,India,Rice,Drones (NDVI),NDVI,Sprinkler + Auto,33,14,15,CNN,85,159,High,Cloud outage recorded
151,India,Sorghum,Soil sensors,EC (salinity),Cloud-auto (scheduled),19,16,5,XGBoost,86,234,Medium,Solar powered
152,India,Maize,Vision camera (edge),Solar Radiation,Manual,35,15,18,CNN,84,72,Medium,
153,USA,Maize,Soil sensors + Weather station,EC (salinity),Sprinkler,25,4,7,KNN,84,186,High,Smallholder field
154,Egypt,Potato,Vision camera (edge),EC (salinity),Sprinkler + Auto,30,7,16,LightGBM,88,59,High,High sensor drift
155,China,Millet,Soil sensors + Drones,Soil Moisture,Micro-irrigation,30,3,16,KNN,69,254,High,
156,South Africa,Potato,Drones (NDVI),Soil Moisture,Micro-irrigation,28,15,13,LightGBM,89,220,High,
157,India,Potato,Drones (NDVI),NDVI,Flood,24,20,7,Linear Regression,64,125,High,
158,USA,Tomato,Edge device + Vision,Solar Radiation,Flood,19,10,7,Random Forest,88,281,High,
159,India,Maize,NodeMCU + LoRa,Solar Radiation,Sprinkler,32,9,8,LightGBM,83,193,Medium,High rainfall during eval period
160,China,Tomato,Solar-powered sensors,Air Temp,Manual,44,8,24,Random Forest,82,132,Medium,
161,China,Potato,Soil sensors + Weather station,EC (salinity),Drip + Sensor-driven,32,13,15,CNN,85,343,Medium,
162,Bangladesh,Millet,Soil sensors + Drones,Multispectral Camera,Sprinkler + Auto,31,11,14,Linear Regression,63,192,Medium,
163,Egypt,Potato,Soil sensors,Air Temp,Micro-irrigation,39,6,22,LightGBM,81,58,Medium,
164,India,Maize,Drones (NDVI),Humidity,Manual,33,24,12,CNN,87,175,Medium,
165,USA,Date Palm,Weather station,NDVI,Sprinkler,27,6,14,Random Forest,88,327,High,Edge device tested
166,India,Sugarcane,Soil sensors,Soil Moisture,Sprinkler,14,8,5,Reinforcement Learning (A2C),83,325,High,
167,USA,Sugarcane,Soil sensors + Weather station,Solar Radiation,Cloud-auto (scheduled),26,19,8,XGBoost,74,155,Medium,Cloud outage recorded
168,China,Millet,Soil sensors,Solar Radiation,Sprinkler + Auto,27,9,10,Random Forest,73,340,High,High sensor drift
169,Ghana,Potato,Cloud-connected sensors,Air Temp,Manual,27,13,12,Linear Regression,64,153,High,
170,India,Wheat,Soil sensors,Multispectral Camera,Sprinkler + Auto,31,4,19,LightGBM,81,111,Medium,High sensor drift
171,India,Maize,Vision camera (edge),Solar Radiation,Drip + Sensor-driven,44,9,10,CNN,79,76,Low,
172,Australia,Cotton,Soil sensors + Weather station,Soil Moisture,Drip,34,8,9,Reinforcement Learning (A2C),79,364,Medium,
173,India,Wheat,Vision camera (edge),NDVI,Manual,28,6,12,XGBoost,92,235,High,
174,India,Tomato,Soil sensors,Solar Radiation,Cloud-auto (scheduled),12,-3,5,Reinforcement Learning (A2C),68,342,High,Solar powered
175,Bangladesh,Potato,Soil sensors + Weather station,EC (salinity),Micro-irrigation,29,7,16,CNN,83,286,High,
176,Egypt,Sorghum,Vision camera (edge),Solar Radiation,Micro-irrigation,34,14,12,CNN,76,197,Low,
177,Bangladesh,Sugarcane,Soil sensors + Drones,NDVI,Manual,34,17,7,CNN,80,280,Medium,
178,Portugal,Potato,Drones (NDVI),Soil Temperature,Sprinkler + Auto,24,10,7,Ensemble,81,352,High,
179,Australia,Sorghum,Cloud-connected sensors,Humidity,Drip,25,13,6,Random Forest,88,352,Medium,Solar powered
180,India,Soybean,Weather station,Soil Temperature,Flood,17,10,6,XGBoost,84,107,High,
181,China,Sugarcane,NodeMCU + LoRa,Soil Moisture,Micro-irrigation,26,13,8,RCNN,74,274,High,
182,India,Date Palm,Drones (NDVI),EC (salinity),Cloud-auto (scheduled),39,2,14,Random Forest,76,156,High,
183,Australia,Tomato,Edge device + Vision,Humidity,Drip + Sensor-driven,23,13,10,XGBoost,91,170,High,
184,China,Grapes,Edge device + Vision,Air Temp,Cloud-auto (scheduled),15,-2,9,LightGBM,78,70,High,
185,India,Mango,Weather station,NDVI,Cloud-auto (scheduled),25,11,14,Reinforcement Learning (A2C),86,330,High,
186,Brazil,Cotton,Soil sensors + Weather station,Soil Moisture,Sprinkler,28,7,6,Ensemble,91,81,Medium,
187,Australia,Maize,Drones (NDVI),Solar Radiation,Drip + Sensor-driven,33,-1,15,Ensemble,78,177,High,Pilot plot
188,USA,Cotton,Soil sensors + Weather station,Soil Moisture,Micro-irrigation,29,1,9,Ensemble,83,48,Low,
189,China,Millet,Cloud-connected sensors,NDVI,Drip,32,20,15,RCNN,74,84,Low,
190,China,Soybean,Soil sensors + Weather station,Solar Radiation,Micro-irrigation,29,12,6,XGBoost,84,128,Medium,
191,Ghana,Soybean,Weather station,Air Temp,Drip,36,19,10,Ensemble,89,320,Medium,
192,USA,Soybean,NodeMCU + LoRa,Multispectral Camera,Manual,27,14,10,KNN,67,124,Low,
193,Australia,Rice,Weather station,Humidity,Drip + Sensor-driven,31,12,7,LightGBM,77,184,High,
194,India,Potato,Soil sensors + Drones,Soil Moisture,Sprinkler,19,12,7,Random Forest,76,287,Low,Cloud outage recorded
195,Egypt,Soybean,NodeMCU + LoRa,NDVI,Manual,20,3,9,Random Forest,89,98,High,
196,Spain,Potato,Drones (NDVI),Solar Radiation,Flood,32,7,18,KNN,65,335,Medium,
197,Bangladesh,Millet,Drones (NDVI),Soil Temperature,Drip,35,6,14,LightGBM,83,133,High,
198,India,Date Palm,Vision camera (edge),Humidity,Drip + Sensor-driven,23,15,12,CNN,84,58,High,
199,China,Rice,Soil sensors + Weather station,NDVI,Drip,40,5,12,Ensemble,95,141,High,
200,India,Wheat,Soil sensors + Weather station,Soil Moisture,Sprinkler,31,12,15,XGBoost,86,176,High,Solar powered
201,Bangladesh,Grapes,Vision camera (edge),Multispectral Camera,Sprinkler + Auto,19,5,11,LightGBM,80,306,High,Pilot plot
202,India,Date Palm,Drones (NDVI),Air Temp,Flood,15,8,6,Ensemble,85,182,High,Solar powered
203,China,Cotton,Weather station,EC (salinity),Micro-irrigation,34,12,16,LightGBM,90,87,High,Edge device tested
204,Ghana,Rice,Weather station,Soil Temperature,Sprinkler,25,13,10,XGBoost,85,54,High,
205,Bangladesh,Date Palm,Weather station,Soil Moisture,Micro-irrigation,32,11,18,Random Forest,73,324,High,
206,Egypt,Potato,Weather station,Air Temp,Flood,24,8,14,Random Forest,82,315,Low,Smallholder field
207,USA,Grapes,Soil sensors + Weather station,Soil Moisture,Manual,32,9,10,KNN,72,298,High,
208,India,Grapes,Weather station,Solar Radiation,Flood,15,12,4,XGBoost,84,103,Medium,High rainfall during eval period
209,Bangladesh,Grapes,Soil sensors + Weather station,Air Temp,Sprinkler + Auto,25,17,6,Random Forest,76,361,High,
210,Bangladesh,Date Palm,Soil sensors + Drones,Humidity,Drip,33,-3,17,KNN,80,338,High,
211,South Africa,Sugarcane,Soil sensors + Drones,Humidity,Drip + Sensor-driven,24,11,7,LightGBM,88,185,Low,
212,Australia,Millet,Soil sensors,Solar Radiation,Flood,26,9,14,KNN,68,233,Low,
213,South Africa,Grapes,Vision camera (edge),EC (salinity),Cloud-auto (scheduled),36,23,20,CNN,82,284,High,Dry season
214,Ghana,Potato,NodeMCU + LoRa,EC (salinity),Manual,18,-2,9,RCNN,81,143,Medium,
215,China,Sugarcane,Soil sensors + Weather station,Multispectral Camera,Cloud-auto (scheduled),26,1,8,XGBoost,76,224,High,
216,China,Soybean,Drones (NDVI),Solar Radiation,Drip + Sensor-driven,21,2,10,Ensemble,89,210,High,Dry season
217,India,Date Palm,Cloud-connected sensors,Soil Moisture,Drip,30,9,13,Linear Regression,77,54,Medium,
218,Brazil,Cotton,Soil sensors,Air Temp,Drip,37,19,15,XGBoost,78,60,Medium,Edge device tested
219,Brazil,Soybean,Vision camera (edge),Soil Moisture,Sprinkler + Auto,25,5,13,CNN,81,170,High,
220,China,Millet,Soil sensors + Drones,Air Temp,Sprinkler,25,8,15,CNN,93,153,High,
221,Portugal,Tomato,Edge device + Vision,Soil Temperature,Manual,25,4,13,XGBoost,85,154,Low,
222,Egypt,Wheat,Soil sensors + Drones,Soil Moisture,Sprinkler,24,5,10,XGBoost,93,273,High,
223,India,Mango,Solar-powered sensors,EC (salinity),Sprinkler,39,5,22,LightGBM,79,147,High,Edge device tested
224,China,Rice,NodeMCU + LoRa,NDVI,Drip,34,16,14,Ensemble,81,38,Low,
225,Ghana,Millet,Solar-powered sensors,Soil Temperature,Cloud-auto (scheduled),23,1,11,Random Forest,77,229,Medium,
226,Bangladesh,Millet,Soil sensors,Soil Temperature,Manual,23,9,7,XGBoost,78,68,High,Edge device tested
227,Bangladesh,Sorghum,Drones (NDVI),NDVI,Drip + Sensor-driven,32,9,13,XGBoost,90,222,High,Solar powered
228,India,Sugarcane,Weather station,Humidity,Sprinkler,35,11,12,Random Forest,87,354,High,
229,India,Wheat,Soil sensors,NDVI,Drip + Sensor-driven,40,13,21,Random Forest,79,97,High,
230,China,Date Palm,Drones (NDVI),Soil Moisture,Sprinkler,34,12,19,Linear Regression,79,336,Medium,
231,India,Grapes,Edge device + Vision,Humidity,Micro-irrigation,34,15,15,Random Forest,90,167,High,
232,India,Grapes,Weather station,NDVI,Drip + Sensor-driven,28,12,15,XGBoost,81,156,Medium,
233,USA,Mango,Soil sensors,NDVI,Drip,32,16,8,XGBoost,76,347,High,Dry season
234,India,Soybean,Cloud-connected sensors,Air Temp,Cloud-auto (scheduled),31,11,12,LightGBM,83,132,High,
235,Bangladesh,Potato,Weather station,Solar Radiation,Flood,22,1,10,Random Forest,87,231,High,Long-term monitoring
236,USA,Date Palm,Soil sensors,Soil Moisture,Drip + Sensor-driven,38,10,9,Random Forest,84,179,Medium,
237,Brazil,Sorghum,Drones (NDVI),Solar Radiation,Micro-irrigation,39,8,18,Random Forest,84,108,Medium,Pilot plot
238,Bangladesh,Sugarcane,Vision camera (edge),Multispectral Camera,Sprinkler + Auto,29,11,7,Ensemble,90,214,Medium,Edge device tested
239,USA,Wheat,Soil sensors,Humidity,Manual,22,10,7,Reinforcement Learning (A2C),72,318,Low,Solar powered
240,Australia,Potato,Cloud-connected sensors,Multispectral Camera,Sprinkler,25,10,14,Random Forest,78,291,Medium,
241,Egypt,Cotton,Vision camera (edge),Multispectral Camera,Drip + Sensor-driven,33,18,16,RCNN,84,286,High,Dry season
